,,,,,,,,,,,,,,Performance,,,,,,,Standard,,,,,,,,
Rk,Player,Gls,Sh,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos.,HOME/AWAY
1,Ben Brereton,3,5,9/25/2021,22-160,cl CHI,Blackburn,,Cardiff City,eng Championship,W 5-1,Y,90,3,0,3,2,1,1,0,5,0.40,0.50,4,80.0,15.4,0,FW,HOME
2,Sammie Szmodics,2,4,11/29/2023,28-066,ie IRL,Blackburn,,Birmingham City,eng Championship,W 4-2,Y,90,2,0,2,2,0,0,0,4,0.50,1.00,2,50.0,22.8,0,"MF,FW",HOME
3,Sammie Szmodics,2,4,9/16/2023,27-357,ie IRL,Blackburn,,Middlesbrough,eng Championship,W 2-1,Y,89,2,0,2,2,0,0,0,4,0.50,0.67,3,75.0,21.2,0,"MF,FW",HOME
4,Ben Brereton,2,2,11/24/2021,22-220,cl CHI,Blackburn,,P'borough Utd,eng Championship,W 4-0,Y,60,2,0,2,2,0,0,0,2,1.00,1.00,2,100.0,12.5,0,FW,HOME
5,Ben Brereton,2,4,12/18/2021,22-244,cl CHI,Blackburn,,Birmingham City,eng Championship,W 4-0,Y,90,2,0,2,1,1,1,0,4,0.25,1.00,1,25.0,16.6,0,FW,HOME
6,Ben Brereton,2,6,10/8/2022,23-173,cl CHI,Blackburn,,Rotherham Utd,eng Championship,W 3-0,Y,72,2,0,2,1,1,1,0,6,0.17,0.50,2,33.3,22.5,0,"FW,MF",HOME
7,Yuki Ohashi,2,4,9/14/2024,28-049,jp JPN,Blackburn,,Bristol City,eng Championship,W 3-0,Y,89,2,0,2,2,0,0,0,4,0.50,1.00,2,50.0,12.1,0,"FW,MF",HOME
8,Tyrhys Dolan,2,3,2/10/2024,22-044,eng ENG,Blackburn,,Stoke City,eng Championship,W 3-1,Y,84,2,0,2,2,0,0,0,3,0.67,1.00,2,66.7,12.9,0,"FW,MF",HOME
9,Amario Duberry,1,2,12/14/2024,19-199,eng ENG,Blackburn,,Luton Town,eng Championship,W 2-0,Y,74,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,15.7,0,"FW,MF",HOME
10,Joe Rothwell,1,3,12/29/2021,26-352,eng ENG,Blackburn,,Barnsley,eng Championship,W 2-1,Y,84,1,0,1,1,0,0,0,3,0.33,1.00,1,33.3,13.8,0,MF,HOME
11,Joe Rothwell,1,1,10/16/2021,26-278,eng ENG,Blackburn,,Coventry City,eng Championship,D 2-2,Y,90,1,1,2,1,0,0,0,1,1.00,1.00,1,100.0,10.8,0,MF,HOME
12,Darragh Lenihan,1,2,11/24/2021,27-253,ie IRL,Blackburn,,P'borough Utd,eng Championship,W 4-0,Y,90,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,18.4,0,DF,HOME
13,Daniel Ayala,1,1,9/14/2021,30-311,es ESP,Blackburn,,Hull City,eng Championship,W 2-0,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,10.1,0,DF,HOME
14,Daniel Ayala,1,1,2/18/2023,32-103,es ESP,Blackburn,,Swansea City,eng Championship,W 1-0,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,5.3,0,DF,HOME
15,Lewis Travis,1,1,9/14/2024,26-334,eng ENG,Blackburn,,Bristol City,eng Championship,W 3-0,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,26.5,0,MF,HOME
16,Lewis Travis,1,1,7/30/2022,24-287,eng ENG,Blackburn,,QPR,eng Championship,W 1-0,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,31.7,0,"MF,DF",HOME
17,Lewis Travis,1,1,9/28/2024,26-348,eng ENG,Blackburn,,QPR,eng Championship,W 2-0,Y,76,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,23.0,0,MF,HOME
18,Sammie Szmodics,1,6,3/5/2024,28-163,ie IRL,Blackburn,,Millwall,eng Championship,D 1-1,Y,90,1,0,1,1,0,0,0,6,0.17,0.50,2,33.3,20.5,0,"MF,FW",HOME
19,Sammie Szmodics,1,6,11/10/2023,28-047,ie IRL,Blackburn,,Preston,eng Championship,L 1-2,Y,90,1,0,1,1,0,0,0,6,0.17,0.33,3,50.0,16.7,0,"MF,FW",HOME
20,Sammie Szmodics,1,3,4/21/2024,28-210,ie IRL,Blackburn,,Sheffield Weds,eng Championship,L 1-3,Y,90,1,0,1,1,0,0,0,3,0.33,0.50,2,66.7,12.5,0,"MF,FW",HOME
21,Sammie Szmodics,1,7,1/1/2024,28-099,ie IRL,Blackburn,,Rotherham Utd,eng Championship,D 2-2,Y,90,1,0,1,1,0,0,0,7,0.14,0.33,3,42.9,12.9,0,"MF,FW",HOME
22,Sammie Szmodics,1,4,10/8/2022,27-014,ie IRL,Blackburn,,Rotherham Utd,eng Championship,W 3-0,Y,86,1,1,2,1,0,0,0,4,0.25,1.00,1,25.0,18.2,0,"MF,FW",HOME
23,Sammie Szmodics,1,1,8/9/2024,28-320,ie IRL,Blackburn,,Derby County,eng Championship,W 4-2,N,26,1,1,2,1,0,0,0,1,1.00,1.00,1,100.0,12.9,0,MF,HOME
24,Sammie Szmodics,1,7,10/1/2023,28-007,ie IRL,Blackburn,,Leicester City,eng Championship,L 1-4,Y,90,1,0,1,1,0,0,0,7,0.14,0.50,2,28.6,15.7,1,"MF,FW",HOME
25,Sammie Szmodics,1,2,2/10/2024,28-139,ie IRL,Blackburn,,Stoke City,eng Championship,W 3-1,Y,84,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,9.8,0,"MF,FW",HOME
26,Sammie Szmodics,1,2,3/9/2024,28-167,ie IRL,Blackburn,,Plymouth Argyle,eng Championship,D 1-1,Y,90,1,0,1,1,0,0,0,2,0.50,0.50,2,100.0,15.5,0,"MF,FW",HOME
27,Hayden Carter,1,2,5/1/2023,23-135,eng ENG,Blackburn,,Luton Town,eng Championship,D 1-1,Y,90,1,0,1,1,0,0,0,2,0.50,0.50,2,100.0,18.5,0,DF,HOME
